Date,Title,Media Type,URL
2022-07-02,Solargraphic Analemmas,image,https://apod.nasa.gov/apod/image/2207/Analemma1_1024c.jpg
2022-07-03,Phobos: Doomed Moon of Mars,image,https://apod.nasa.gov/apod/image/2207/Phobos_MRO_960.jpg
2022-07-05,A Molten Galaxy Einstein Ring,image,https://apod.nasa.gov/apod/image/2207/MoltenEinsteinRing_HubbleLodge_960.jpg
2022-07-06,Milky Way Motion in 3D from Gaia,image,https://apod.nasa.gov/apod/image/2207/MilkyWayMotion_Gaia_1080.jpg
2022-07-07,The NGC 6914 Complex,image,https://apod.nasa.gov/apod/image/2207/NGC_6914_1024.jpg
2022-07-08,Roots on a Rotating Planet,image,https://apod.nasa.gov/apod/image/2207/StarTreels.jpg
2022-07-09,Saturn and the ISS,image,https://apod.nasa.gov/apod/image/2207/ISS_Saturn_TGlenn.jpg
2022-07-10,In the Center of the Cat's Eye Nebula,image,https://apod.nasa.gov/apod/image/2207/CatsEye_HubbleVillaVerde_960.jpg
2022-07-11,Andromeda over the Sahara Desert,image,https://apod.nasa.gov/apod/image/2207/SaharaAndromeda_Coy_1080.jpg
2022-07-12,Noctilucent Clouds over Paris,image,https://apod.nasa.gov/apod/image/2207/NoctilucentParis_Kulik_1080.jpg
2022-07-13,Webb's First Deep Field,image,https://apod.nasa.gov/apod/image/2207/STScI-SMACS0723_webb.jpg
2022-07-14,Webb's Southern Ring Nebula,image,https://apod.nasa.gov/apod/image/2207/STScI-WebbSouthernRing.jpg
2022-07-15,Lubovna Full Moon,image,https://apod.nasa.gov/apod/image/2207/2022_07_13_Uplnek_Lubovna_1000mm_c1024px.jpg
2022-07-16,Tycho and Clavius at Dawn,image,https://apod.nasa.gov/apod/image/2207/Dawn-in-Clavius-Tycho-07-07-22_1024.jpg
2022-07-17,Europa and Jupiter from Voyager 1,image,https://apod.nasa.gov/apod/image/2207/EuropaJupiter_Voyager_960.jpg
2022-07-18,"Stephan's Quintet from Webb, Hubble, and Subaru",image,https://apod.nasa.gov/apod/image/2207/Quintet_JwstHstEtcGendler_960.jpg
2022-07-20,Jupiter and Ring in Infrared from Webb,image,https://apod.nasa.gov/apod/image/2207/JupiterRing_WebbSchmidt_1080.jpg
2022-07-21,Messier 10 and Comet,image,https://apod.nasa.gov/apod/image/2207/C2017k2cumuloM10v4_1024.jpg
2022-07-23,Apollo 11 Landing Panorama,image,https://apod.nasa.gov/apod/image/2207/a11pan1040226lftsm600.jpg
2022-07-24,Saturn in Infrared from Cassini,image,https://apod.nasa.gov/apod/image/2207/SaturnIR_CassiniKakitsev_960.jpg
2022-07-26,Comet NEOWISE Rising over the Adriatic Sea,video,https://www.youtube.com/embed/ts0Ek3nLHew?rel=0
2022-07-27,Crepuscular Moon Rays over Denmark,image,https://apod.nasa.gov/apod/image/2207/CrepuscularMoonrise_Merzyakov_960.jpg
2022-07-28,North Celestial Tree,image,https://apod.nasa.gov/apod/image/2207/AncientTreeNCP_Dai1024.jpg
2022-07-29,SOFIA's Southern Lights,image,https://apod.nasa.gov/apod/image/2207/ASC05954-Edit1024.jpg
2022-07-30,The Eagle Rises,image,https://apod.nasa.gov/apod/image/2207/AS11JK44-6633-34_1100px.jpg
2022-07-31,Starburst Galaxy M94 from Hubble,image,https://apod.nasa.gov/apod/image/2207/M94_Hubble_960.jpg
2022-08-01,Mountains of Dust in the Carina Nebula,image,https://apod.nasa.gov/apod/image/2208/MysticCarina_HubbleSerrano_960.jpg
2022-08-02,A Moon Dressed Like Saturn,image,https://apod.nasa.gov/apod/image/2208/SaturnMoon_Sojuel_960.jpg
2022-08-03,Halo of the Cat's Eye,image,https://apod.nasa.gov/apod/image/2208/CatsHalo_Falls_960.jpg
2022-08-04,M13: The Great Globular Cluster in Hercules,image,https://apod.nasa.gov/apod/image/2208/M13_final2_sinfirma1024.jpg
2022-08-05,A Beautiful Trifid,image,https://apod.nasa.gov/apod/image/2208/M20-Trifid-Nebula-1024.jpg
2022-08-06,Stereo Phobos,image,https://apod.nasa.gov/apod/image/2208/Phobos_stereoME_1024c.jpg
2022-08-08,The Lagoon Nebula without Stars,image,https://apod.nasa.gov/apod/image/2208/LagoonStarFree_Dhar_960.jpg
2022-08-09,Leaving Earth,video,https://www.youtube.com/embed/rFDjAfwmWKM?rel=0
2022-08-10,Dust Clouds of the Pacman Nebula,image,https://apod.nasa.gov/apod/image/2208/Pacman_Struble_960.jpg
2022-08-11,Perseids and MAGIC,image,https://apod.nasa.gov/apod/image/2208/MagicPerseid001_1024.jpg
2022-08-12,Portrait of the Eagle Nebula,image,https://apod.nasa.gov/apod/image/2208/M16_final_1024.jpg
2022-08-13,Herschel Crater on Mimas,image,https://apod.nasa.gov/apod/image/2208/PIA12572_1200.jpg
2022-08-14,4000 Exoplanets,video,https://www.youtube.com/embed/aiFD_LBx2nM?rel=0
2022-08-15,The Cygnus Wall of Star Formation,image,https://apod.nasa.gov/apod/image/2208/CygnusWall_Bogaerts_960.jpg
2022-08-16,A Meteor Wind over Tunisia,image,https://apod.nasa.gov/apod/image/2208/MeteorWind_Larnaout_960.jpg
2022-08-17,Stargate Milky Way,image,https://apod.nasa.gov/apod/image/2208/StargateMilkyWay_Oudoux_960.jpg
2022-08-18,Full Moon Perseids,image,https://apod.nasa.gov/apod/image/2208/perseids2022jcc2k800.jpg
2022-08-19,Saturn: 1993 - 2022,image,https://apod.nasa.gov/apod/image/2208/Saturn1993-2022Lb1024.jpg
2022-08-20,Stardust and Comet Tails,image,https://apod.nasa.gov/apod/image/2208/C2017K2_220818_1050.jpg
2022-08-22,Earth's Recent Climate Spiral,video,https://www.youtube.com/embed/ACaPI2M4GyU?rel=0
2022-08-23,Meteor & Milky Way over the Mediterranean,image,https://apod.nasa.gov/apod/image/2208/MeteorGalaxy_Looten_1000.jpg
2022-08-24,The Cartwheel Galaxy from Webb,image,https://apod.nasa.gov/apod/image/2208/Cartwheel_Webb_960.jpg
2022-08-25,Tiangong Space Station Transits the Moon,image,https://apod.nasa.gov/apod/image/2208/Tiangong_transiting_moon_Lucy_Hu_c1024.jpg
